      Step     Time          Energy          fmax
BFGS:    0 17:33:55     -194.536327        0.344952
BFGS:    1 17:33:57     -194.537969        0.204843
BFGS:    2 17:34:00     -194.541131        0.379645
BFGS:    3 17:34:02     -194.549531        0.622268
BFGS:    4 17:34:05     -194.556699        0.609961
BFGS:    5 17:34:08     -194.564157        0.381678
BFGS:    6 17:34:10     -194.573381        0.361720
BFGS:    7 17:34:13     -194.587436        0.803192
BFGS:    8 17:34:15     -194.607036        1.072737
BFGS:    9 17:34:18     -194.628280        0.828532
BFGS:   10 17:34:20     -194.644342        0.288517
BFGS:   11 17:34:23     -194.651329        0.277242
BFGS:   12 17:34:25     -194.664737        0.584052
BFGS:   13 17:34:28     -194.676603        0.699248
BFGS:   14 17:34:30     -194.686086        0.514497
BFGS:   15 17:34:33     -194.689773        0.174173
BFGS:   16 17:34:36     -194.690254        0.011182
