      Step     Time          Energy          fmax
BFGS:    0 22:31:06     -194.525535        0.369344
BFGS:    1 22:31:09     -194.527046        0.174057
BFGS:    2 22:31:12     -194.528158        0.226882
BFGS:    3 22:31:14     -194.534759        0.364138
BFGS:    4 22:31:17     -194.537033        0.275867
BFGS:    5 22:31:19     -194.540090        0.168287
BFGS:    6 22:31:22     -194.544782        0.389989
BFGS:    7 22:31:25     -194.554744        0.677283
BFGS:    8 22:31:27     -194.566040        0.723329
BFGS:    9 22:31:30     -194.576816        0.444658
BFGS:   10 22:31:32     -194.585258        0.235343
BFGS:   11 22:31:35     -194.589284        0.232977
BFGS:   12 22:31:38     -194.601901        0.529901
BFGS:   13 22:31:40     -194.609346        0.487579
BFGS:   14 22:31:43     -194.613996        0.245674
BFGS:   15 22:31:45     -194.615186        0.139941
BFGS:   16 22:31:48     -194.616128        0.197398
BFGS:   17 22:31:50     -194.623888        0.714722
BFGS:   18 22:31:53     -194.611600        1.734464
BFGS:   19 22:31:56     -194.653736        0.688368
BFGS:   20 22:31:58     -194.668807        0.587833
BFGS:   21 22:32:01     -194.716022        1.231560
BFGS:   22 22:32:03     -194.750562        2.972628
BFGS:   23 22:32:06     -194.967628        2.201020
BFGS:   24 22:32:09     -195.168292        2.160026
BFGS:   25 22:32:11     -195.420949        2.048244
BFGS:   26 22:32:14     -195.715890        1.745730
BFGS:   27 22:32:16     -195.990388        1.517814
BFGS:   28 22:32:19     -196.076152        0.858336
BFGS:   29 22:32:22     -195.887018        3.774595
BFGS:   30 22:32:24     -196.190250        1.321691
BFGS:   31 22:32:27     -196.271915        0.805384
BFGS:   32 22:32:29     -196.408351        0.476432
BFGS:   33 22:32:32     -196.427261        1.655475
BFGS:   34 22:32:34     -196.460742        0.394991
BFGS:   35 22:32:37     -196.468069        0.357433
BFGS:   36 22:32:39     -196.484924        0.533224
BFGS:   37 22:32:42     -196.498474        0.465759
BFGS:   38 22:32:44     -196.516443        0.269496
BFGS:   39 22:32:47     -196.522214        0.305705
BFGS:   40 22:32:50     -196.525913        0.159315
BFGS:   41 22:32:52     -196.527893        0.131400
BFGS:   42 22:32:55     -196.529981        0.130417
BFGS:   43 22:32:57     -196.532117        0.129310
BFGS:   44 22:33:00     -196.533382        0.083928
BFGS:   45 22:33:02     -196.534275        0.087262
BFGS:   46 22:33:05     -196.535408        0.106005
BFGS:   47 22:33:07     -196.536914        0.135971
BFGS:   48 22:33:10     -196.539022        0.159329
BFGS:   49 22:33:12     -196.541116        0.133133
BFGS:   50 22:33:15     -196.542564        0.109249
BFGS:   51 22:33:18     -196.543596        0.110864
BFGS:   52 22:33:20     -196.544855        0.125006
BFGS:   53 22:33:23     -196.546657        0.159652
BFGS:   54 22:33:25     -196.548397        0.124768
BFGS:   55 22:33:28     -196.549354        0.082363
BFGS:   56 22:33:30     -196.549875        0.079202
BFGS:   57 22:33:33     -196.550497        0.086707
BFGS:   58 22:33:35     -196.551372        0.102914
BFGS:   59 22:33:38     -196.552259        0.080670
BFGS:   60 22:33:41     -196.552659        0.039176
