      Step     Time          Energy          fmax
BFGS:    0 01:05:17     -194.364105        0.805533
BFGS:    1 01:05:20     -194.371986        0.348311
BFGS:    2 01:05:22     -194.375389        0.313877
BFGS:    3 01:05:25     -194.387630        0.273061
BFGS:    4 01:05:28     -194.388582        0.146207
BFGS:    5 01:05:30     -194.389451        0.167946
BFGS:    6 01:05:33     -194.391183        0.309452
BFGS:    7 01:05:35     -194.395242        0.488304
BFGS:    8 01:05:38     -194.402240        0.573552
BFGS:    9 01:05:41     -194.409805        0.397263
BFGS:   10 01:05:43     -194.412855        0.121574
BFGS:   11 01:05:46     -194.413658        0.067156
BFGS:   12 01:05:49     -194.414249        0.089743
BFGS:   13 01:05:51     -194.414615        0.091843
BFGS:   14 01:05:54     -194.414808        0.047967
