      Step     Time          Energy          fmax
BFGS:    0 03:42:12     -205.398206        1.281336
BFGS:    1 03:42:15     -205.487569        1.636313
BFGS:    2 03:42:18     -205.500127        2.374402
BFGS:    3 03:42:20     -205.750425        1.029150
BFGS:    4 03:42:23     -205.782872        1.003244
BFGS:    5 03:42:26     -205.922273        0.579674
BFGS:    6 03:42:29     -205.945157        0.516225
BFGS:    7 03:42:32     -205.964452        0.408738
BFGS:    8 03:42:35     -205.983554        0.285079
BFGS:    9 03:42:38     -205.990003        0.155335
BFGS:   10 03:42:41     -205.991727        0.101442
BFGS:   11 03:42:44     -205.992690        0.107074
BFGS:   12 03:42:47     -205.994052        0.125068
BFGS:   13 03:42:50     -205.995763        0.137502
BFGS:   14 03:42:53     -205.996986        0.094327
BFGS:   15 03:42:56     -205.997670        0.072875
BFGS:   16 03:42:59     -205.998363        0.105699
BFGS:   17 03:43:02     -205.999755        0.171726
BFGS:   18 03:43:05     -206.002361        0.245580
BFGS:   19 03:43:07     -206.006204        0.268542
BFGS:   20 03:43:10     -206.009626        0.192946
BFGS:   21 03:43:13     -206.012136        0.186911
BFGS:   22 03:43:16     -206.015931        0.301749
BFGS:   23 03:43:19     -206.022470        0.415494
BFGS:   24 03:43:22     -206.031713        0.450330
BFGS:   25 03:43:25     -206.039575        0.280341
BFGS:   26 03:43:28     -206.046798        0.261881
BFGS:   27 03:43:31     -206.052062        0.299757
BFGS:   28 03:43:34     -206.061691        0.440723
BFGS:   29 03:43:37     -206.075158        0.470850
BFGS:   30 03:43:40     -206.086311        0.297398
BFGS:   31 03:43:43     -206.092412        0.157329
BFGS:   32 03:43:46     -206.096187        0.231265
BFGS:   33 03:43:48     -206.100236        0.352414
BFGS:   34 03:43:51     -206.107869        0.424357
BFGS:   35 03:43:54     -206.123998        0.446271
BFGS:   36 03:43:57     -206.140844        0.463240
BFGS:   37 03:44:00     -206.174844        0.664596
BFGS:   38 03:44:03     -206.222236        1.061266
BFGS:   39 03:44:06     -206.302758        1.218161
BFGS:   40 03:44:09     -206.376666        1.174487
BFGS:   41 03:44:11     -206.406026        0.874229
BFGS:   42 03:44:14     -206.428973        0.501306
BFGS:   43 03:44:17     -206.442273        0.551300
BFGS:   44 03:44:20     -206.458272        0.456671
BFGS:   45 03:44:23     -206.483670        0.345299
BFGS:   46 03:44:26     -206.517444        0.344193
BFGS:   47 03:44:28     -206.526279        0.234811
BFGS:   48 03:44:31     -206.531875        0.228908
BFGS:   49 03:44:34     -206.545768        0.297224
BFGS:   50 03:44:37     -206.565828        0.428401
BFGS:   51 03:44:40     -206.587199        0.437848
BFGS:   52 03:44:42     -206.604192        0.375584
BFGS:   53 03:44:45     -206.619134        0.375651
BFGS:   54 03:44:48     -206.638562        0.475701
BFGS:   55 03:44:51     -206.669027        0.667142
BFGS:   56 03:44:54     -206.703021        0.625725
BFGS:   57 03:44:57     -206.725978        0.351740
BFGS:   58 03:45:00     -206.737643        0.371819
BFGS:   59 03:45:03     -206.749755        0.393626
BFGS:   60 03:45:06     -206.765180        0.442695
BFGS:   61 03:45:08     -206.777284        0.324402
BFGS:   62 03:45:11     -206.784065        0.184641
BFGS:   63 03:45:14     -206.789821        0.182049
BFGS:   64 03:45:17     -206.795751        0.313139
BFGS:   65 03:45:20     -206.804313        0.324359
BFGS:   66 03:45:23     -206.818969        0.449070
BFGS:   67 03:45:26     -206.837001        0.331091
BFGS:   68 03:45:28     -206.848459        0.226276
BFGS:   69 03:45:31     -206.857990        0.220172
BFGS:   70 03:45:34     -206.867883        0.298398
BFGS:   71 03:45:37     -206.878089        0.246005
BFGS:   72 03:45:39     -206.886951        0.145576
BFGS:   73 03:45:42     -206.890889        0.113759
BFGS:   74 03:45:45     -206.892452        0.089391
BFGS:   75 03:45:48     -206.893535        0.079717
BFGS:   76 03:45:50     -206.894666        0.075748
BFGS:   77 03:45:53     -206.895692        0.090882
BFGS:   78 03:45:56     -206.896474        0.069695
BFGS:   79 03:45:59     -206.896846        0.026582
